,label,channels,delivery_method,show_map,user_type,has_logo,org_facebook,sale_duration,sale_duration2,event_created_to_end,num_ticket_type,median_ticket_cost,total_tickets_sold,nan_delivery_method,nan_org_facebook,nan_num_ticket_type,nan_median_ticket_cost,payout_type_CHECK,payout_type_MISSING
47,0,6,0.0,1,1,1,0.0,24.0,24,24,4.0,45.0,26,False,False,False,False,0,0
48,0,8,0.0,0,3,1,26.0,49.0,49,49,1.0,41.54,26,False,False,False,False,1,0
49,0,6,0.0,0,4,1,0.0,66.0,66,67,1.0,10.0,9,False,False,False,False,1,0
50,0,11,0.0,1,3,1,11.0,56.0,81,82,1.0,46.26,30,False,False,False,False,0,0
51,1,6,0.0,1,1,0,0.0,132.0,132,133,13.0,35.0,9,False,False,False,False,1,0
52,0,11,1.0,0,3,1,0.0,49.0,70,71,6.0,76.5,92,False,False,False,False,0,0
53,0,13,0.0,1,3,0,13.0,53.0,53,54,1.0,5.93,33,False,False,False,False,0,0
54,1,11,0.0,0,1,1,0.0,6.0,6,7,1.0,500.0,0,False,False,False,False,0,0
55,0,8,1.0,1,3,1,0.0,219.0,219,220,3.0,112.5,8,False,False,False,False,0,0
56,0,6,1.0,1,3,1,13.0,56.0,56,57,1.0,10.0,84,False,False,False,False,1,0
57,0,5,0.0,1,3,1,35.0,47.0,47,48,3.0,0.0,84,False,False,False,False,0,0
58,0,8,1.0,0,3,1,0.0,71.0,71,72,4.0,10.0,8,False,False,False,False,0,0
59,0,12,0.0,0,1,1,0.0,17.0,17,27,2.0,10.0,28,False,False,False,False,0,0
60,0,5,0.0,1,3,1,35.0,28.0,28,29,5.0,0.0,38,False,False,False,False,0,0
61,0,6,0.0,1,3,1,0.0,13.0,13,13,7.0,15.0,491,False,False,False,False,0,0
62,0,11,1.0,0,4,1,0.0,62.0,63,65,16.0,74.61,803,False,False,False,False,1,0
63,0,6,0.0,1,4,1,20.0,8.0,8,9,1.0,12.85,2,False,False,False,False,0,0
64,0,5,0.0,1,1,1,0.0,8.0,8,8,1.0,35.0,34,False,False,False,False,0,0
66,0,5,0.0,1,1,1,40.0,34.0,34,34,1.0,30.0,2,False,False,False,False,0,0
67,0,5,0.0,1,4,1,0.0,42.0,42,42,1.0,15.0,4,False,False,False,False,0,0
68,0,6,0.0,1,4,1,0.0,10.0,10,10,1.0,5.0,1,False,False,False,False,0,0
69,0,8,1.0,1,4,1,0.0,25.0,25,25,2.0,10.0,39,False,False,False,False,0,0
70,1,13,0.0,0,1,1,35.0,20.0,65,65,1.0,30.0,0,False,False,False,False,0,0
71,0,8,0.0,1,3,0,0.0,36.0,36,36,1.0,8.46,9,False,False,False,False,1,0
72,0,8,0.0,1,3,1,10.0,71.0,74,74,1.0,8.46,7,False,False,False,False,1,0
73,0,6,0.0,0,1,1,20.0,100.0,100,100,2.0,15.545,4,False,False,False,False,0,0
74,0,12,0.0,1,1,1,0.0,16.0,16,16,1.0,10.0,6,False,False,False,False,0,0
75,0,12,0.0,1,1,1,0.0,22.0,22,22,1.0,10.0,5,False,False,False,False,0,0
76,0,10,1.0,1,3,1,16.0,8.0,45,45,1.0,22.63,38,False,False,False,False,1,0
77,0,11,0.0,1,4,1,0.0,20.0,20,20,4.0,6.875,2,False,False,False,False,0,0
79,0,11,1.0,1,3,1,0.0,21.0,21,22,1.0,8.75,2,False,False,False,False,0,0
80,0,0,0.0,1,1,1,0.0,14.0,14,14,1.0,250.0,30,False,False,False,False,0,0
81,0,8,0.0,0,4,1,0.0,0.0,0,64,2.0,35.0,2,False,False,False,False,1,0
82,0,8,3.0,1,3,1,0.0,15.0,15,15,2.0,10.0,43,False,False,False,False,0,0
83,0,9,1.0,1,3,1,0.0,281.0,281,282,6.0,117.5,243,False,False,False,False,0,0
84,0,0,0.0,0,3,1,0.0,0.0,0,0,1.0,4112.55,1,False,False,False,False,0,0
85,0,6,0.0,1,4,1,0.0,29.0,29,29,1.0,10.0,4,False,False,False,False,0,0
86,0,11,0.0,1,3,1,0.0,28.0,32,32,1.0,35.0,28,False,False,False,False,0,0
87,0,10,1.0,0,3,0,11.0,48.0,48,48,3.0,119.95,2,False,False,False,False,0,0
88,0,5,0.0,1,1,1,0.0,44.0,44,44,2.0,17.5,40,False,False,False,False,1,0
89,0,8,1.0,1,3,1,48.0,114.0,114,115,1.0,245.76,9,False,False,False,False,0,0
90,0,8,1.0,1,3,1,0.0,158.0,158,160,2.0,1294.7,1,False,False,False,False,0,0
91,0,8,0.0,1,3,1,12.0,58.0,58,58,2.0,37.5,1,False,False,False,False,0,0
92,0,0,0.0,0,5,1,0.0,1.0,1,1,1.0,250.0,1,False,False,False,False,0,0
93,0,0,1.0,1,3,1,0.0,50.0,140,141,5.0,0.0,130,False,False,False,False,1,0
95,0,6,0.0,1,3,1,0.0,55.0,55,55,3.0,12.0,77,False,False,False,False,1,0
96,0,6,0.0,1,4,1,11.0,9.0,9,9,4.0,14.0,12,False,False,False,False,1,0
97,0,5,1.0,0,1,0,0.0,22.0,22,22,4.0,750.0,198,False,False,False,False,1,0
98,0,11,1.0,0,3,1,5.0,3.0,3,3,1.0,0.0,15,False,False,False,False,0,0
99,0,8,0.0,1,4,1,0.0,46.0,46,46,2.0,17.5,10,False,False,False,False,0,0
100,0,5,1.0,1,3,0,0.0,22.0,22,22,1.0,45.31,17,False,False,False,False,1,0
101,0,11,1.0,1,1,1,0.0,113.0,113,115,14.0,0.0,80,False,False,False,False,0,0
102,0,11,0.0,1,3,1,13.0,28.0,28,28,1.0,13.18,57,False,False,False,False,1,0
103,0,6,0.0,0,3,1,0.0,41.0,41,41,16.0,22.5,5,False,False,False,False,0,0
104,0,5,0.0,1,1,1,0.0,10.0,10,10,1.0,15.0,3,False,False,False,False,0,0
105,0,11,1.0,1,4,1,0.0,45.0,49,49,6.0,0.0,118,False,False,False,False,0,0
106,0,8,0.0,1,4,0,0.0,38.0,38,38,1.0,15.0,25,False,False,False,False,1,0
108,0,5,1.0,0,1,1,0.0,27.0,30,30,1.0,15.0,17,False,False,False,False,1,0
109,0,5,1.0,0,3,1,12.0,35.0,35,35,5.0,25.0,22,False,False,False,False,0,0
110,0,6,1.0,1,3,0,18.0,270.0,270,270,1.0,49.99,9,False,False,False,False,0,0
111,0,8,0.0,0,3,1,0.0,49.0,57,57,1.0,183.28,1,False,False,False,False,0,0
112,0,0,0.0,1,3,1,0.0,15.0,15,15,1.0,3.73,10,False,False,False,False,0,0
113,0,5,0.0,1,3,1,19.0,26.0,26,26,2.0,15.875,6,False,False,False,False,0,0
114,0,8,0.0,1,3,0,0.0,145.0,147,147,1.0,52.87,3,False,False,False,False,0,0
115,0,5,0.0,1,3,1,0.0,13.0,13,13,4.0,17.0,6,False,False,False,False,0,0
116,0,11,0.0,1,3,1,0.0,16.0,16,16,2.0,37.5,141,False,False,False,False,1,0
117,0,0,0.0,1,4,1,0.0,30.0,30,31,1.0,4.05,29,False,False,False,False,0,0
118,0,11,1.0,1,3,1,0.0,86.0,99,99,3.0,40.0,49,False,False,False,False,0,0
119,0,11,0.0,1,4,1,0.0,38.0,39,39,1.0,90.53,15,False,False,False,False,0,0
120,0,8,1.0,1,3,1,17.0,15.0,15,260,3.0,0.0,277,False,False,False,False,0,0
122,0,11,1.0,1,3,1,0.0,52.0,55,56,2.0,169.0,14,False,False,False,False,0,0
123,0,6,1.0,1,3,1,0.0,24.0,25,25,1.0,13.45,28,False,False,False,False,0,0
124,0,12,0.0,1,3,1,0.0,143.0,143,143,1.0,6.5,268,False,False,False,False,0,0
125,0,11,0.0,1,3,1,22.0,44.0,44,45,2.0,22.63,49,False,False,False,False,0,0
126,0,8,1.0,1,3,0,12.0,25.0,27,27,3.0,3.73,16,False,False,False,False,0,0
127,0,11,1.0,1,3,1,0.0,85.0,87,87,14.0,10.76,182,False,False,False,False,0,0
128,1,0,0.0,1,1,1,0.0,9.0,9,11,2.0,300.0,9,False,False,False,False,0,0
129,0,8,0.0,0,3,1,0.0,14.0,21,21,1.0,8.46,3,False,False,False,False,1,0
130,1,6,0.0,0,3,1,0.0,0.0,0,1,1.0,140.76,1,False,False,False,False,0,0
131,1,11,0.0,1,1,1,0.0,4.0,4,4,3.0,350.0,3,False,False,False,False,0,0
132,0,11,1.0,1,4,1,0.0,41.0,41,41,4.0,234.31,17,False,False,False,False,0,0
133,0,8,0.0,1,3,1,0.0,0.0,0,59,2.0,24.86,5,False,False,False,False,0,0
134,0,5,1.0,1,3,0,0.0,65.0,65,65,6.0,52.685,17,False,False,False,False,0,0
135,0,11,1.0,1,3,1,8.0,79.0,79,80,7.0,3.73,274,False,False,False,False,1,0
136,0,11,0.0,1,4,1,0.0,10.0,10,10,2.0,0.0,2,False,False,False,False,1,0
137,0,8,0.0,1,3,0,34.0,70.0,70,71,2.0,5.0,7,False,False,False,False,0,0
138,0,0,1.0,1,3,1,14.0,64.0,64,64,2.0,2.515,35,False,False,False,False,0,0
139,0,5,0.0,1,1,1,0.0,29.0,29,30,2.0,47.5,81,False,False,False,False,0,0
140,1,6,0.0,0,3,1,0.0,1.0,1,1,1.0,140.76,3,False,False,False,False,0,0
141,0,6,1.0,1,3,1,0.0,116.0,116,120,1.0,92.9,92,False,False,False,False,0,0
142,0,4,0.0,1,4,0,0.0,42.0,42,43,2.0,12.5,23,False,False,False,False,1,0
144,1,13,0.0,1,1,1,0.0,5.0,5,7,7.0,190.0,2,False,False,False,False,0,0
145,0,8,0.0,1,3,1,0.0,189.0,189,190,2.0,162.515,15,False,False,False,False,0,0
146,0,5,0.0,1,3,1,24.0,16.0,16,16,1.0,20.0,8,False,False,False,False,0,0
147,0,8,0.0,1,3,1,7.0,28.0,28,29,3.0,21.01,2,False,False,False,False,0,0
148,0,11,1.0,1,3,1,0.0,56.0,56,57,4.0,34.5,66,False,False,False,False,0,0
149,1,5,0.0,1,1,0,0.0,-3.0,0,-1,2.0,91.875,0,False,False,False,False,0,0
150,0,5,0.0,1,4,1,0.0,22.0,22,22,1.0,50.0,22,False,False,False,False,0,0
151,0,11,1.0,1,4,1,5.0,18.0,18,18,5.0,84.06,27,False,False,False,False,1,0
152,0,8,0.0,1,3,1,40.0,-37.0,-37,240,2.0,80.0,58,False,False,False,False,0,0
153,0,5,0.0,1,3,1,43.0,21.0,22,22,2.0,7.5,46,False,False,False,False,0,0
154,0,0,0.0,1,4,0,18.0,0.0,0,10,8.0,75.0,16,False,False,False,False,0,0
155,0,0,1.0,1,3,1,14.0,19.0,19,19,2.0,7.26,17,False,False,False,False,0,0
156,0,6,0.0,0,3,0,0.0,19.0,19,19,1.0,55.0,8,False,False,False,False,0,0
157,0,6,0.0,1,3,1,0.0,21.0,21,21,1.0,44.0,23,False,False,False,False,1,0
158,0,4,0.0,1,1,1,0.0,70.0,153,153,2.0,37.5,5,False,False,False,False,0,0
159,0,8,1.0,0,3,1,0.0,190.0,190,190,2.0,15.0,6,False,False,False,False,0,0
160,0,8,1.0,0,3,1,0.0,212.0,212,212,2.0,15.0,11,False,False,False,False,0,0
161,1,5,0.0,1,1,0,0.0,11.0,11,11,1.0,8.46,1,False,False,False,False,0,0
162,0,0,0.0,0,4,1,0.0,40.0,40,41,2.0,0.0,0,False,False,False,False,0,0
163,0,11,1.0,1,3,0,0.0,145.0,145,146,6.0,210.095,200,False,False,False,False,0,0
164,0,8,1.0,1,3,1,0.0,33.0,38,39,2.0,2.5,7,False,False,False,False,0,0
165,0,11,1.0,1,3,1,14.0,178.0,178,179,4.0,717.55,21,False,False,False,False,1,0
166,0,8,1.0,1,3,1,0.0,38.0,115,117,5.0,0.0,288,False,False,False,False,0,0
167,0,6,1.0,1,3,1,15.0,54.0,54,70,1.0,70.0,11,False,False,False,False,1,0
168,0,0,0.0,1,3,1,11.0,4.0,4,4,1.0,25.0,5,False,False,False,False,0,0
169,0,5,0.0,1,3,0,8.0,38.0,39,39,2.0,6.555,33,False,False,False,False,0,0
170,0,8,0.0,1,3,1,18.0,22.0,23,23,4.0,15.545,28,False,False,False,False,0,0
171,0,5,0.0,1,3,1,17.0,12.0,12,12,3.0,10.0,12,False,False,False,False,0,0
172,0,5,0.0,1,1,1,15.0,186.0,186,186,1.0,10.0,16,False,False,False,False,0,0
173,0,4,0.0,1,3,1,0.0,19.0,19,19,2.0,52.5,2,False,False,False,False,1,0
174,0,11,1.0,1,4,1,13.0,38.0,157,157,8.0,1041.665,433,False,False,False,False,1,0
175,0,0,1.0,1,3,1,0.0,78.0,78,78,8.0,361.025,10,False,False,False,False,0,0
176,0,0,1.0,1,3,1,0.0,0.0,0,11,17.0,30.0,2,False,False,False,False,0,0
177,1,5,0.0,1,1,1,0.0,1.0,1,0,1.0,100.0,0,False,False,False,False,0,0
178,0,11,0.0,1,4,1,10.0,11.0,15,15,1.0,48.99,30,False,False,False,False,0,0
179,0,5,0.0,1,1,1,7.0,72.0,72,72,3.0,18.0,180,False,False,False,False,0,0
180,0,11,1.0,1,3,1,0.0,91.0,98,99,9.0,22.85,51,False,False,False,False,0,0
181,1,6,0.0,1,1,1,0.0,5.0,5,5,4.0,160.0,0,False,False,False,False,0,0
182,0,10,0.0,1,4,1,0.0,5.0,5,5,1.0,5.06,4,False,False,False,False,1,0
183,1,12,0.0,1,1,1,0.0,1.0,1,1,3.0,200.0,4,False,False,False,False,0,1
184,0,5,1.0,1,3,1,9.0,25.0,25,26,1.0,8.41,33,False,False,False,False,0,0
185,0,8,0.0,1,1,1,0.0,38.0,41,41,2.0,7.5,78,False,False,False,False,0,0
186,0,13,0.0,1,3,0,0.0,153.0,155,155,1.0,45.0,13,False,False,False,False,0,0
187,1,8,1.0,0,1,1,0.0,151.0,153,153,10.0,20.0,0,False,False,False,False,0,1
188,0,5,0.0,1,1,1,12.0,21.0,21,21,2.0,12.5,21,False,False,False,False,1,0
189,0,8,0.0,1,3,1,14.0,80.0,80,80,3.0,28.0,7,False,False,False,False,0,0
190,0,8,1.0,1,1,1,10.0,67.0,67,69,3.0,200.0,82,False,False,False,False,0,0
191,0,11,1.0,1,4,1,0.0,128.0,128,128,2.0,34.445,444,False,False,False,False,0,0
192,0,11,1.0,1,3,1,0.0,106.0,114,114,4.0,417.5,9,False,False,False,False,0,0
193,0,8,1.0,0,3,0,0.0,0.0,3,171,3.0,65.0,37,False,False,False,False,1,0
194,0,5,0.0,1,4,1,16.0,20.0,21,21,1.0,22.51,13,False,False,False,False,0,0
195,0,5,0.0,1,1,1,25.0,7.0,7,7,1.0,15.0,50,False,False,False,False,0,0
196,0,0,0.0,1,3,1,9.0,116.0,116,116,1.0,350.0,10,False,False,False,False,0,0
197,0,10,0.0,1,4,1,20.0,9.0,9,9,1.0,100.0,7,False,False,False,False,0,0
198,0,0,0.0,1,3,1,0.0,19.0,19,19,3.0,35.0,31,False,False,False,False,0,0
199,0,11,0.0,1,3,1,19.0,78.0,78,78,1.0,75.0,240,False,False,False,False,1,0
200,0,8,1.0,1,3,1,14.0,48.0,48,48,3.0,114.4,12,False,False,False,False,0,0
201,0,8,1.0,1,3,1,23.0,87.0,89,89,2.0,21.675,15,False,False,False,False,0,0
202,1,5,0.0,1,1,1,0.0,1.0,1,4,1.0,100.0,0,False,False,False,False,0,0
203,0,8,0.0,1,4,1,23.0,46.0,46,47,1.0,13.11,13,False,False,False,False,0,0
204,0,8,0.0,1,3,1,0.0,26.0,26,27,1.0,15.0,12,False,False,False,False,0,0
205,0,6,1.0,1,3,1,8.0,32.0,36,39,2.0,121.86,53,False,False,False,False,1,0
206,1,13,0.0,1,4,1,0.0,0.0,0,1,1.0,300.0,6,False,False,False,False,0,0
207,0,5,1.0,1,3,1,35.0,15.0,15,15,1.0,30.0,19,False,False,False,False,0,0
208,0,11,1.0,1,3,1,7.0,54.0,55,58,12.0,669.05,17,False,False,False,False,0,0
209,0,10,0.0,1,3,1,25.0,84.0,84,84,1.0,3.73,4,False,False,False,False,1,0
210,0,11,0.0,0,4,0,0.0,27.0,27,28,1.0,5.0,10,False,False,False,False,1,0
211,0,5,0.0,1,4,1,0.0,24.0,24,23,1.0,5.0,9,False,False,False,False,1,0
212,1,5,0.0,1,1,1,0.0,87.0,87,87,1.0,40.0,0,False,False,False,False,0,1
213,0,0,1.0,0,4,1,0.0,57.0,59,59,1.0,17.91,256,False,False,False,False,1,0
214,0,8,1.0,1,3,1,0.0,60.0,64,65,2.0,46.755,27,False,False,False,False,1,0
215,0,0,0.0,1,1,1,0.0,17.0,17,18,2.0,130.0,4,False,False,False,False,1,0
217,0,0,0.0,1,3,1,11.0,40.0,40,40,2.0,40.0,44,False,False,False,False,1,0
218,0,8,0.0,1,3,1,6.0,63.0,63,63,2.0,150.0,13,False,False,False,False,0,0
219,1,11,0.0,1,1,1,10.0,999.0,20,20,2.0,7.5,0,False,False,False,False,0,1
220,0,6,0.0,1,3,1,20.0,19.0,24,24,2.0,100.0,8,False,False,False,False,0,0
221,0,6,1.0,1,1,0,0.0,9.0,9,101,6.0,62.5,1,False,False,False,False,0,0
222,0,8,1.0,1,3,1,48.0,39.0,39,40,2.0,22.85,9,False,False,False,False,0,0
223,0,11,1.0,1,4,1,9.0,38.0,39,39,4.0,135.55,47,False,False,False,False,0,0
224,0,8,1.0,1,3,1,0.0,85.0,85,86,1.0,35.0,35,False,False,False,False,0,0
225,0,8,1.0,1,3,1,12.0,28.0,28,29,1.0,8.46,2,False,False,False,False,1,0
226,0,8,1.0,1,3,1,0.0,16.0,16,16,4.0,15.545,99,False,False,False,False,1,0
227,0,5,0.0,1,3,1,0.0,58.0,58,58,3.0,0.91,69,False,False,False,False,1,0
228,0,8,0.0,1,1,1,0.0,29.0,29,29,1.0,25.0,5,False,False,False,False,0,0
229,0,6,0.0,1,3,1,35.0,14.0,14,14,2.0,3.0,2,False,False,False,False,0,0
230,0,11,1.0,1,3,1,14.0,24.0,30,30,2.0,32.085,51,False,False,False,False,1,0
231,0,5,0.0,1,4,1,0.0,10.0,11,11,1.0,25.0,6,False,False,False,False,1,0
232,0,11,0.0,1,3,1,15.0,75.0,80,80,6.0,37.5,26,False,False,False,False,0,0
233,0,8,0.0,1,4,1,0.0,29.0,29,29,2.0,13.185,23,False,False,False,False,1,0
234,0,11,1.0,1,4,1,20.0,30.0,30,30,1.0,70.26,14,False,False,False,False,0,0
235,0,8,1.0,0,4,1,0.0,68.0,68,68,1.0,55.71,46,False,False,False,False,0,0
236,0,10,1.0,0,3,1,11.0,12.0,12,12,4.0,90.495,5,False,False,False,False,0,0
238,0,8,3.0,1,3,1,9.0,35.0,35,36,2.0,34.445,16,False,False,False,False,0,0
239,0,8,0.0,0,3,1,10.0,9.0,9,9,2.0,2.5,22,False,False,False,False,0,0
240,0,8,1.0,1,3,1,48.0,80.0,94,95,6.0,7.5,821,False,False,False,False,1,0
241,0,8,1.0,1,3,1,12.0,122.0,122,122,3.0,27.36,96,False,False,False,False,0,0
242,0,11,0.0,1,3,1,20.0,8.0,8,8,2.0,34.445,8,False,False,False,False,0,0
243,0,5,0.0,1,4,1,0.0,38.0,38,38,2.0,12.5,107,False,False,False,False,0,0
244,0,5,1.0,1,3,1,36.0,151.0,151,151,2.0,92.41,1,False,False,False,False,0,0
245,0,8,1.0,0,4,1,0.0,13.0,13,13,1.0,35.0,8,False,False,False,False,0,0
246,0,6,0.0,1,3,1,0.0,17.0,19,19,1.0,10.35,5,False,False,False,False,0,0
247,0,0,0.0,1,3,1,13.0,18.0,18,18,2.0,50.0,6,False,False,False,False,0,0
248,1,8,0.0,1,1,0,0.0,40.0,40,40,1.0,150.0,0,False,False,False,False,0,0
249,0,11,0.0,1,1,1,21.0,45.0,45,46,2.0,10.0,43,False,False,False,False,1,0
250,1,5,0.0,1,3,1,0.0,8.0,8,8,1.0,50.0,0,False,False,False,False,0,0
251,0,11,1.0,1,1,1,25.0,141.0,178,178,2.0,242.345,29,False,False,False,False,0,0
252,0,8,1.0,1,4,0,0.0,27.0,27,27,1.0,5.0,5,False,False,False,False,0,0
253,0,8,1.0,1,3,0,12.0,25.0,25,25,1.0,40.0,22,False,False,False,False,0,0
254,0,12,0.0,1,1,0,20.0,37.0,37,40,8.0,11.0,45,False,False,False,False,1,0
255,0,11,0.0,1,3,1,23.0,18.0,18,18,3.0,10.0,13,False,False,False,False,0,0
256,0,8,1.0,1,3,1,48.0,270.0,270,271,1.0,234.01,12,False,False,False,False,0,0
257,0,0,0.0,1,3,0,18.0,0.0,2,2,11.0,18.0,1611,False,False,False,False,0,0
258,0,11,1.0,1,3,1,32.0,41.0,41,41,6.0,7.67,162,False,False,False,False,0,0
259,1,0,0.0,1,3,0,0.0,40.0,40,40,2.0,23.13,0,False,False,False,False,1,0
260,0,11,0.0,1,3,1,0.0,15.0,30,30,1.0,22.51,69,False,False,False,False,0,0
261,0,11,1.0,1,3,1,20.0,79.0,84,86,3.0,1731.2,30,False,False,False,False,0,0
262,1,0,0.0,1,1,0,0.0,-1094.0,-1094,1,2.0,2.505,1,False,False,False,False,0,0
263,1,8,0.0,1,1,0,0.0,4.0,4,5,1.0,310.0,0,False,False,False,False,0,0
264,0,8,1.0,1,3,1,17.0,60.0,60,60,1.0,8.75,16,False,False,False,False,0,0
265,0,5,1.0,1,3,1,16.0,28.0,30,30,2.0,15.545,112,False,False,False,False,1,0
266,0,0,0.0,1,3,1,14.0,80.0,122,122,1.0,27.5,73,False,False,False,False,0,0
267,0,5,0.0,1,3,1,0.0,65.0,65,66,1.0,97.0,9,False,False,False,False,0,0
268,0,11,1.0,1,3,0,11.0,61.0,61,61,1.0,10.39,86,False,False,False,False,0,0
269,0,0,0.0,1,4,1,0.0,15.0,20,20,1.0,50.0,25,False,False,False,False,1,0
270,0,8,1.0,1,4,1,0.0,64.0,64,65,2.0,25.0,19,False,False,False,False,0,0
271,0,5,0.0,1,4,1,45.0,16.0,16,16,2.0,55.0,2,False,False,False,False,0,0
272,1,0,0.0,1,1,1,8.0,18.0,18,18,1.0,163.51,1,False,False,False,False,0,0
273,0,6,0.0,1,1,1,0.0,33.0,34,34,2.0,95.0,22,False,False,False,False,1,0
274,0,10,1.0,1,1,1,0.0,81.0,81,86,5.0,15.0,54,False,False,False,False,0,0
275,1,0,0.0,0,3,0,0.0,0.0,0,367,1.0,90.0,0,False,False,False,False,0,0
276,0,6,1.0,1,3,1,0.0,104.0,104,105,3.0,6.4,4,False,False,False,False,0,0
277,0,8,0.0,1,3,1,0.0,40.0,40,42,2.0,125.0,5,False,False,False,False,0,0
278,0,11,0.0,1,3,1,0.0,276.0,278,278,1.0,30.0,136,False,False,False,False,0,0
279,0,5,1.0,1,4,1,0.0,161.0,161,161,2.0,17.81,55,False,False,False,False,0,0
280,0,6,1.0,0,4,1,16.0,43.0,43,43,1.0,36.81,27,False,False,False,False,0,0
281,0,8,1.0,1,3,1,9.0,247.0,247,247,3.0,100.0,7,False,False,False,False,1,0
283,0,6,1.0,1,3,1,9.0,25.0,25,25,4.0,8.08,65,False,False,False,False,0,0
284,0,6,0.0,1,1,1,0.0,69.0,70,70,2.0,20.0,314,False,False,False,False,0,0
